Title	URL	Assignees	Status	Labels	Linked pull requests	Repository	Reviewers	Milestone
Googleads	https://github.com/QUBUHUB/kubu/pull/1	QUBUHUB	Done	documentation, enhancement, good first issue, help wanted, question, wontfix		QUBUHUB/kubu		
CRYPTO 	https://github.com/QUBUHUB/kubu/pull/2	QUBUHUB	Done	documentation, enhancement, good first issue, question		QUBUHUB/kubu		
Flüükpé	https://github.com/QUBUHUB/kubu/pull/3	QUBUHUB	Done	bug, dependencies, documentation, duplicate, enhancement, go, good first issue, help wanted, invalid, question, wontfix		QUBUHUB/kubu		
Kubucoin	https://github.com/QUBUHUB/kubucoin/pull/1	QUBUHUB	Done	good first issue, wontfix		QUBUHUB/kubucoin		
Hello, Follow the questionnaire answered	https://github.com/QUBUHUB/kubu/issues/9	QUBUHUB	Done	go, question		QUBUHUB/kubu		
Use	https://github.com/QUBUHUB/kubu/issues/10		Done	documentation		QUBUHUB/kubu		
kuhucoin	https://github.com/QUBUHUB/kubucoin/pull/2			documentation, enhancement		QUBUHUB/kubucoin		
Work on this boss	https://github.com/randombit/botan/issues/3635					randombit/botan		
Wallet readme	https://github.com/QUBUHUB/Kubucoinwallet/issues/2	QUBUHUB		documentation		QUBUHUB/Kubucoinwallet		
Kubucoin	https://github.com/QUBUHUB/QUBU/issues/2	QUBUHUB		dependencies, enhancement, good first issue		QUBUHUB/QUBU		
Bump ouroboros from 0.9.5 to 0.16.0 in /external-crates/move	https://github.com/QUBUHUB/sui/pull/1	QUBUHUB	Done	dependencies, rust		QUBUHUB/sui	QUBUHUB	
